"censor_id","dec_phys1","relhaz","loghaz","se","logcil","logciu","PA"
1,0.00501004557561812,1.00675852306497,0.0067349835,0.0088727782,-0.0106540884798606,0.0241250938180463,0.501004557561812
2,0.008121072221632,1.00653460603922,0.0065143458,0.0085821068,-0.0103053699643684,0.0233353527727795,0.8121072221632
3,0.0100956369881715,1.00639365222225,0.0063744332,0.0083977832,-0.010084433857578,0.0228333585431615,1.00956369881715
4,0.0104190136291235,1.00637189591756,0.0063514896,0.0083675571,-0.0100473920344699,0.022753466605747,1.04190136291236
5,0.0114738179000867,1.00629745347403,0.0062767486,0.0082690921,-0.00992988996068411,0.0224844357845229,1.14738179000867
6,0.012128408383449,1.00624904347124,0.006230406,0.0082080392,-0.00985684865505167,0.0223174658303158,1.2128408383449
7,0.012126653919928,1.00625139967275,0.006230406,0.0082080392,-0.00985594123107232,0.0223188568796649,1.2126653919928
8,0.0122897918688405,1.00623891051493,0.0062189689,0.0081929723,-0.00983791614643346,0.0222775024495611,1.22897918688405
9,0.0151092759344896,1.00603600700731,0.0060189399,0.0079294499,-0.00952356683485444,0.0215596914663771,1.51092759344896
10,0.0151081941423819,1.00603822540625,0.0060189399,0.0079294499,-0.0095227872768885,0.0215601391770377,1.51081941423819
11,0.0151095426601388,1.00603643517132,0.0060189399,0.0079294499,-0.0095238921598092,0.0215615514514033,1.51095426601388
12,0.0151089253620927,1.00603744824222,0.0060189399,0.0079294499,-0.00952230913807382,0.0215618788602205,1.51089253620927
13,0.0172338091962698,1.00588535366739,0.0058683041,0.007731,-0.00928496037072142,0.0210209776816697,1.72338091962698
14,0.0202519254033199,1.00566951808802,0.0056541669,0.0074488921,-0.00894466556700656,0.0202529127122696,2.02519254033199
15,0.0202524708740076,1.00567017387963,0.0056541669,0.0074488921,-0.0089457891425992,0.0202555253199406,2.02524708740076
16,0.0202556618968883,1.00567048255879,0.0056541669,0.0074488921,-0.00894640498080542,0.0202531603944315,2.02556618968883
17,0.020255175610863,1.00567058630724,0.0056541669,0.0074488921,-0.00894466270960738,0.0202547253103267,2.0255175610863
18,0.0202529731018561,1.00567089360638,0.0056541669,0.0074488921,-0.00894615117903897,0.0202543893560642,2.02529731018561
19,0.0202537380306644,1.00566964473206,0.0056541669,0.0074488921,-0.0089461875805988,0.020254446240805,2.02537380306644
20,0.0202544199380899,1.0056710688991,0.0056541669,0.0074488921,-0.00894560809709858,0.020252277367759,2.02544199380899
21,0.020783530862321,1.0056320225397,0.0056165983,0.0073993993,-0.00888642933529247,0.0201192544026749,2.0783530862321
22,0.0214513805261505,1.00558396558973,0.0055693206,0.0073371143,-0.00881086674483522,0.0199504370409589,2.14513805261505
23,0.0214514358643532,1.00558406345528,0.0055693206,0.0073371143,-0.00881119555009493,0.0199495312373745,2.14514358643532
24,0.0218914956462469,1.00555463568841,0.0055380338,0.0072958968,-0.00876160791365383,0.0198384416664336,2.18914956462469
25,0.0251080404847263,1.00532387988712,0.0053099883,0.0069954656,-0.00840233764582221,0.0190228318625126,2.51080404847263
26,0.0258756006206302,1.00527008676712,0.0052556819,0.0069239214,-0.00831388783757357,0.0188270405856159,2.58756006206302
27,0.0268920327257695,1.00519685557667,0.0051835692,0.0068289195,-0.00819940831031972,0.0185670101624918,2.68920327257695
28,0.0294197902721786,1.00501732474407,0.0050043897,0.0065928656,-0.00791879068892116,0.0179268212783167,2.94197902721785
29,0.0294186229518921,1.00501616078048,0.0050043897,0.0065928656,-0.00791993793167384,0.0179258888359508,2.94186229518921
30,0.0294182901302484,1.00501557412694,0.0050043897,0.0065928656,-0.00791950400131154,0.0179248465811414,2.94182901302484
31,0.0307829203233277,1.00491872789255,0.0049077799,0.0064655901,-0.00776668058516101,0.0175800741990623,3.07829203233277
32,0.0308940095838625,1.00491185422748,0.0048998185,0.0064551015,-0.0077529586276272,0.017551590659059,3.08940095838625
33,0.0310490223274799,1.00490078058976,0.0048886598,0.0064404011,-0.00773540259054482,0.0175120295767744,3.10490223274799
34,0.0315309696934563,1.00486648377723,0.0048546852,0.0063956422,-0.00768164699702874,0.0173901939467717,3.15309696934563
35,0.0324460479493846,1.00480158049842,0.0047897371,0.0063100788,-0.0075777655993856,0.0171582715069816,3.24460479493846
36,0.0330535715253531,1.00475829124365,0.0047466294,0.0062532877,-0.0075116067872005,0.0170012962768487,3.30535715253531
37,0.0348853375594449,1.00462755190356,0.0046168617,0.0060823294,-0.00730535612703282,0.0165381955490788,3.48853375594449
38,0.0348838580284159,1.00462816769229,0.0046168617,0.0060823294,-0.00730482566480497,0.0165371376832217,3.48838580284159
39,0.0348840336894756,1.00462708937171,0.0046168617,0.0060823294,-0.00730697959496382,0.016538148896584,3.48840336894756
40,0.03579680227771,1.00456052976239,0.0045521534,0.0059970818,-0.00720215279327397,0.0163056637042685,3.579680227771
41,0.0359300655557541,1.00455513287636,0.0045427675,0.0059847166,-0.00718638270371937,0.0162719593149542,3.59300655557541
